<start> geh . <end>	<start> go . <end>
<start> wie seltsam ! <end>	<start> how curious ! <end>
<start> wie merkwurdig ! <end>	<start> how curious ! <end>
<start> wie geht s , wie steht s ? <end>	<start> how is life ? <end>
<start> wie seltsam ! <end>	<start> how strange ! <end>
<start> ich verehre dich . <end>	<start> i adore you . <end>
<start> ich verehre euch . <end>	<start> i adore you . <end>
<start> ich verehre sie . <end>	<start> i adore you . <end>
<start> ich bete dich an . <end>	<start> i adore you . <end>
<start> ich bete euch an . <end>	<start> i adore you . <end>
<start> ich bete sie an . <end>	<start> i adore you . <end>
<start> ich bin ein koch . <end>	<start> i am a cook . <end>
<start> ich bin ein monch . <end>	<start> i am a monk . <end>
<start> ich bin ein zwilling . <end>	<start> i am a twin . <end>
<start> ich bin besser . <end>	<start> i am better . <end>
<start> ich komme sofort . <end>	<start> i am coming . <end>
<start> ich bin am dosen . <end>	<start> i am dozing . <end>
<start> ich bin online . <end>	<start> i am online . <end>
<start> ich bin im netz . <end>	<start> i am online . <end>
<start> ich bin groayer . <end>	<start> i am taller . <end>
<start> ich habe tom gefragt . <end>	<start> i asked tom . <end>
<start> ich fragte nach dem grund . <end>	<start> i asked why . <end>
<start> das nehme ich an . <end>	<start> i assume so . <end>
<start> ich habe machtig reingehauen . <end>	<start> i ate a lot . <end>
<start> ich habe viel gegessen . <end>	<start> i ate a lot . <end>
<start> ich gebe tom die schuld . <end>	<start> i blame tom . <end>
<start> ich habe es gekauft . <end>	<start> i bought it . <end>
<start> ich habe sie gekauft . <end>	<start> i bought it . <end>
<start> ich habe ihn gekauft . <end>	<start> i bought it . <end>
<start> ich haba s verbrannt . <end>	<start> i burned it . <end>
<start> ich kann es schaffen . <end>	<start> i can do it . <end>
<start> ich kann nichts essen . <end>	<start> i cannot eat . <end>
<start> ich kann nicht essen . <end>	<start> i cannot eat . <end>
<start> ich kann nicht fliegen . <end>	<start> i cannot fly . <end>
<start> das kann ich nicht sagen . <end>	<start> i cannot say . <end>
<start> ich kann nicht sehen ! <end>	<start> i cannot see . <end>
<start> ich habe die schule geschwanzt . <end>	<start> i cut class . <end>
<start> ich bestreite das . <end>	<start> i deny that . <end>
<start> ich ging nicht . <end>	<start> i did not go . <end>
<start> ich bin nicht gegangen . <end>	<start> i did not go . <end>
<start> ich war anderer meinung . <end>	<start> i disagreed . <end>
<start> ich stimmte nicht zu . <end>	<start> i disagreed . <end>
<start> ich habe nicht zugestimmt . <end>	<start> i disagreed . <end>
<start> ich bin anderer meinung gewesen . <end>	<start> i disagreed . <end>
<start> ich luge nicht . <end>	<start> i do not lie . <end>
<start> ich doste ein . <end>	<start> i dozed off . <end>
<start> ich esse viel . <end>	<start> i eat a lot . <end>
<start> ich esse brot . <end>	<start> i eat bread . <end>
<start> ich esse obst . <end>	<start> i eat fruit . <end>
<start> ich habe trainiert . <end>	<start> i exercised . <end>
<start> ich bin traurig . <end>	<start> i feel blue . <end>
<start> es geht mir gut . <end>	<start> i feel fine . <end>
<start> es geht mir gut . <end>	<start> i feel good . <end>
<start> mir ist schlecht . <end>	<start> i feel sick . <end>
<start> mir ist ubel . <end>	<start> i feel sick . <end>
<start> es geht mir gut . <end>	<start> i feel well . <end>
<start> mir war kalt . <end>	<start> i felt cold . <end>
<start> ich kam mir wie ein blodmann vor . <end>	<start> i felt dumb . <end>
<start> ich habe tom gefeuert . <end>	<start> i fired tom . <end>
<start> ich habe es vergessen . <end>	<start> i forgot it . <end>
<start> ich habe tom gefunden . <end>	<start> i found tom . <end>
<start> ich habe dich gefunden . <end>	<start> i found you . <end>
<start> ich habe sie gefunden . <end>	<start> i found you . <end>
<start> ich fand dich . <end>	<start> i found you . <end>
<start> ich wurde wutend . <end>	<start> i got angry . <end>
<start> ich wurde bose . <end>	<start> i got angry . <end>
<start> mir wurde schwindelig . <end>	<start> i got dizzy . <end>
<start> ich hasse bier . <end>	<start> i hate beer . <end>
<start> ich hasse insekten . <end>	<start> i hate bugs . <end>
<start> ich hasse katzen . <end>	<start> i hate cats . <end>
<start> ich hasse hunde . <end>	<start> i hate dogs . <end>
<start> ich hasse mause . <end>	<start> i hate mice . <end>
<start> ich hasse milch . <end>	<start> i hate milk . <end>
<start> ich hasse regen . <end>	<start> i hate rain . <end>
<start> ich hasse sand . <end>	<start> i hate sand . <end>
<start> ich hasse das . <end>	<start> i hate that . <end>
<start> ich hasse den . <end>	<start> i hate that . <end>
<start> ich hasse die . <end>	<start> i hate that . <end>
<start> ich hasse sie . <end>	<start> i hate them . <end>
<start> ich hasse das . <end>	<start> i hate this . <end>
<start> ich hasse den . <end>	<start> i hate this . <end>
<start> ich hasse die . <end>	<start> i hate this . <end>
<start> ich hasse arbeit . <end>	<start> i hate work . <end>
<start> ich habe dreihundert dollar . <end>	<start> i have . <end>
<start> ich habe bargeld . <end>	<start> i have cash . <end>
<start> ich habe augen . <end>	<start> i have eyes . <end>
<start> ich habe etwas zu essen . <end>	<start> i have food . <end>
<start> ich habe kinder . <end>	<start> i have kids . <end>
<start> ich habe wein . <end>	<start> i have wine . <end>
<start> ich habe dich gehort . <end>	<start> i heard you . <end>
<start> ich zogerte . <end>	<start> i hesitated . <end>
<start> ich habe gezogert . <end>	<start> i hesitated . <end>
<start> ich stellte tom ein . <end>	<start> i hired tom . <end>
<start> ich habe tom eingestellt . <end>	<start> i hired tom . <end>
<start> ich wusste das . <end>	<start> i knew that . <end>
<start> ich weiay das . <end>	<start> i know that . <end>
<start> ich kenne sie . <end>	<start> i know them . <end>
<start> ich weiay das . <end>	<start> i know this . <end>
<start> ich mag beide . <end>	<start> i like both . <end>
<start> ich mag beides . <end>	<start> i like both . <end>
<start> ich mag kuchen . <end>	<start> i like cake . <end>
<start> ich mag katzen . <end>	<start> i like cats . <end>
<start> ich mag hunde . <end>	<start> i like dogs . <end>
<start> ich mag fisch gern . <end>	<start> i like fish . <end>
<start> ich esse gerne fisch . <end>	<start> i like fish . <end>
<start> ich mag jazzmusik . <end>	<start> i like jazz . <end>
<start> ich mag jazz . <end>	<start> i like jazz . <end>
<start> ich mag mathe . <end>	<start> i like math . <end>
<start> ich liebe mathematik . <end>	<start> i like math . <end>
<start> ich mag mathematik . <end>	<start> i like math . <end>
<start> ich mag milch . <end>	<start> i like milk . <end>
<start> ich esse gerne reis . <end>	<start> i like rice . <end>
<start> ich mag schnee . <end>	<start> i like snow . <end>
<start> das gefallt mir . <end>	<start> i like that . <end>
<start> ich mag sie . <end>	<start> i like them . <end>
<start> ich mag das . <end>	<start> i like this . <end>
<start> ich mag wein . <end>	<start> i like wine . <end>
<start> ich mochte tom . <end>	<start> i liked tom . <end>
<start> ich wohne hier . <end>	<start> i live here . <end>
<start> ich lebe hier . <end>	<start> i live here . <end>
<start> ich bin hier zu hause . <end>	<start> i live here . <end>
<start> ich habe das gesicht verloren . <end>	<start> i lost face . <end>
<start> ich liebe maria . <end>	<start> i love mary . <end>
<start> ich liebe rindfleisch . <end>	<start> i love beef . <end>
<start> ich liebe kuchen . <end>	<start> i love cake . <end>
<start> ich liebe hunde . <end>	<start> i love dogs . <end>
<start> ich liebe kinder . <end>	<start> i love kids . <end>
<start> ich liebe das leben . <end>	<start> i love life . <end>
<start> ich mag mathe . <end>	<start> i love math . <end>
<start> ich liebe mathematik . <end>	<start> i love math . <end>
<start> ich mag mathematik . <end>	<start> i love math . <end>
<start> ich liebe reis . <end>	<start> i love rice . <end>
<start> ich mag rock . <end>	<start> i love rock . <end>
<start> ich liebe rock . <end>	<start> i love rock . <end>
<start> ich liebe schnee . <end>	<start> i love snow . <end>
<start> ich liebe sie . <end>	<start> i love them . <end>
<start> ich habe sie geliebt . <end>	<start> i loved her . <end>
<start> ich habe dich geliebt . <end>	<start> i loved you . <end>
<start> ich liebte dich . <end>	<start> i loved you . <end>
<start> ich habe euch geliebt . <end>	<start> i loved you . <end>
<start> ich habe reis gemacht . <end>	<start> i made rice . <end>
<start> ich habe das gemacht . <end>	<start> i made that . <end>
<start> ich habe das gemacht . <end>	<start> i made this . <end>
<start> ich muss gehorchen . <end>	<start> i must obey . <end>
<start> ich brauche kleber . <end>	<start> i need glue . <end>
<start> ich brauche hilfe . <end>	<start> i need help . <end>
<start> ich brauche mehr . <end>	<start> i need more . <end>
<start> ich brauche sie . <end>	<start> i need them . <end>
<start> ich benotige sie . <end>	<start> i need them . <end>
<start> ich brauche zeit . <end>	<start> i need time . <end>
<start> ich wette nie . <end>	<start> i never bet . <end>
<start> ich weine nie . <end>	<start> i never cry . <end>
<start> ich gewinne nie . <end>	<start> i never win . <end>
<start> ich fahre oft ski . <end>	<start> i often ski . <end>
<start> ich bin dagegen . <end>	<start> i oppose it . <end>
<start> ich habe verschlafen . <end>	<start> i overslept . <end>
<start> ich lese lippen . <end>	<start> i read lips . <end>
<start> ich las lippen . <end>	<start> i read lips . <end>
<start> ich habe mich erholt . <end>	<start> i recovered . <end>
<start> ich habe gesagt , dass du aufhoren sollst ! <end>	<start> i said stop . <end>
<start> ich habe gesagt a zhor auf ! a <end>	<start> i said stop . <end>
<start> ich habe das gesagt . <end>	<start> i said that . <end>
<start> ich habe sie gerettet . <end>	<start> i saved you . <end>
<start> ich habe euch gerettet . <end>	<start> i saved you . <end>
<start> ich habe dich gerettet . <end>	<start> i saved you . <end>
<start> ich sah ein ufo . <end>	<start> i saw a ufo . <end>
<start> ich habe eine fliegende untertasse gesehen . <end>	<start> i saw a ufo . <end>
<start> ich habe einen hund gesehen . <end>	<start> i saw a dog . <end>
<start> ich habe dafur gesorgt . <end>	<start> i saw to it . <end>
<start> ich sehe einen jungen . <end>	<start> i see a boy . <end>
<start> ich rieche benzin . <end>	<start> i smell gas . <end>
<start> ich rieche gas . <end>	<start> i smell gas . <end>
<start> ich stammelte . <end>	<start> i stammered . <end>
<start> ich ergebe mich . <end>	<start> i surrender . <end>
<start> ich spreche schnell . <end>	<start> i talk fast . <end>
<start> ich vertraue tom . <end>	<start> i trust tom . <end>
<start> ich vertraue ihm . <end>	<start> i trust him . <end>
<start> ich verlasse mich auf dich . <end>	<start> i trust you . <end>
<start> ich vertraue ihnen . <end>	<start> i trust you . <end>
<start> ich will maria . <end>	<start> i want mary . <end>
<start> ich will bargeld . <end>	<start> i want cash . <end>
<start> ich will bares . <end>	<start> i want cash . <end>
<start> ich will eier . <end>	<start> i want eggs . <end>
<start> ich will kinder . <end>	<start> i want kids . <end>
<start> ich will meins . <end>	<start> i want mine . <end>
<start> ich will mehr . <end>	<start> i want more . <end>
<start> ich will das . <end>	<start> i want that . <end>
<start> ich will sie . <end>	<start> i want them . <end>
<start> ich will das hier . <end>	<start> i want this . <end>
<start> ich brauche zeit . <end>	<start> i want time . <end>
<start> ich will zeit . <end>	<start> i want time . <end>
<start> ich war allein . <end>	<start> i was alone . <end>
<start> ich war wutend . <end>	<start> i was angry . <end>
<start> ich war wach . <end>	<start> i was awake . <end>
<start> ich langweilte mich . <end>	<start> i was bored . <end>
<start> ich habe mich gelangweilt . <end>	<start> i was bored . <end>
<start> mir war schwindlig . <end>	<start> i was dizzy . <end>
<start> ich war besoffen . <end>	<start> i was drunk . <end>
<start> ich wurde gefeuert . <end>	<start> i was fired . <end>
<start> ich war glucklich . <end>	<start> i was happy . <end>
<start> ich wurde eingestellt . <end>	<start> i was hired . <end>
<start> gluck gehabt ! <end>	<start> i was lucky . <end>
<start> ich habe gelegen . <end>	<start> i was lying . <end>
<start> ich habe gelogen . <end>	<start> i was lying . <end>
<start> ich war geruhrt . <end>	<start> i was moved . <end>
<start> ich war naiv . <end>	<start> i was naive . <end>
<start> ich war leichtglaubig . <end>	<start> i was naive . <end>
<start> ich war bereit . <end>	<start> i was ready . <end>
<start> ich war da . <end>	<start> i was there . <end>
<start> ich war dort . <end>	<start> i was there . <end>
<start> ich war mude . <end>	<start> i was tired . <end>
<start> ich war besturzt . <end>	<start> i was upset . <end>
<start> ich habe mich geirrt . <end>	<start> i was wrong . <end>
<start> ich hatte unrecht . <end>	<start> i was wrong . <end>
<start> ich ging nach hause . <end>	<start> i went home . <end>
<start> ich flusterte . <end>	<start> i whispered . <end>
<start> ich habe geflustert <end>	<start> i whispered . <end>
<start> ich helfe . <end>	<start> i will help . <end>
<start> ich werde gehorchen . <end>	<start> i will obey . <end>
<start> ich werde bleiben . <end>	<start> i will stay . <end>
<start> ich werde zu fuay gehen . <end>	<start> i will walk . <end>
<start> ich habe wieder gewonnen . <end>	<start> i won again . <end>
<start> ich werde nicht sterben . <end>	<start> i will not die . <end>
<start> ich arbeite hier . <end>	<start> i work here . <end>
<start> ich wurde tom fragen . <end>	<start> I would ask tom . <end>
<start> ich werde da sein . <end>	<start> I will attend . <end>
<start> ich werde anwesend sein . <end>	<start> I will attend . <end>
<start> ich werde dort sein . <end>	<start> I will attend . <end>
<start> ich kaufe es . <end>	<start> I will buy it . <end>
<start> ich werde absagen . <end>	<start> I will cancel . <end>
<start> ich werde abbrechen . <end>	<start> I will cancel . <end>
<start> ich werde entscheiden . <end>	<start> I will decide . <end>
<start> ich werde das reparieren . <end>	<start> I will fix it . <end>
<start> ich werde folgen . <end>	<start> I will follow . <end>
<start> ich werde klarkommen . <end>	<start> I will get by . <end>
<start> ich werde einsteigen . <end>	<start> I will get in . <end>
<start> ich werde es holen . <end>	<start> I will get it . <end>
<start> ich werde aufstehen . <end>	<start> I will get up . <end>
<start> ich werde jetzt gehen . <end>	<start> I will go now . <end>
<start> ich werde nachsehen . <end>	<start> I will go see . <end>
<start> ich werde klarkommen . <end>	<start> I will manage . <end>
<start> ich werde zurechtkommen . <end>	<start> I will manage . <end>
<start> ich werde schreien . <end>	<start> I will scream . <end>
<start> ich werde es verwenden . <end>	<start> I will use it . <end>
<start> ich bin auch siebzehn . <end>	<start> I am , too . <end>
<start> ich bin backer . <end>	<start> I am a baker . <end>
<start> ich bin ein kind . <end>	<start> I am a child . <end>
<start> ich bin ein tollpatsch . <end>	<start> I am a klutz . <end>
<start> ich bin ein eigenbrotler . <end>	<start> I am a loner . <end>
<start> ich bin arzt . <end>	<start> I am a medic . <end>
<start> ich bin eine krankenschwester . <end>	<start> I am a nurse . <end>
<start> ich bin krankenpfleger . <end>	<start> I am a nurse . <end>
<start> ich bin krankenschwester . <end>	<start> I am a nurse . <end>
<start> ich bin veganer . <end>	<start> I am a vegan . <end>
<start> ich bin zu hause . <end>	<start> I am at home . <end>
<start> ich bin vorsichtig . <end>	<start> I am careful . <end>
<start> ich bin mir sicher . <end>	<start> I am certain . <end>
<start> ich bin ein angsthase . <end>	<start> I am chicken . <end>
<start> ich bin ein feigling . <end>	<start> I am chicken . <end>
<start> ich bin neugierig . <end>	<start> I am curious . <end>
<start> ich tanze . <end>	<start> I am dancing . <end>
<start> ich tanze gerade . <end>	<start> I am dancing . <end>
<start> ich bin auf diat . <end>	<start> I am dieting . <end>
<start> ich faste . <end>	<start> I am fasting . <end>
<start> ich bin pingelig . <end>	<start> I am finicky . <end>
<start> ich bin bei guter gesundheit . <end>	<start> I am healthy . <end>
<start> ich bin gesund . <end>	<start> I am healthy . <end>
<start> ich summe . <end>	<start> I am humming . <end>
<start> ich summe gerade . <end>	<start> I am humming . <end>
<start> ich habe schulden . <end>	<start> I am in debt . <end>
<start> ich bin verschuldet . <end>	<start> I am in debt . <end>
<start> ich bin hier drin . <end>	<start> I am in here . <end>
<start> ich bin im gefangnis . <end>	<start> I am in jail . <end>
<start> ich bin verliebt . <end>	<start> I am in love . <end>
<start> ich habe schmerzen . <end>	<start> I am in pain . <end>
<start> ich bin verletzt . <end>	<start> I am injured . <end>
<start> ich bin eifersuchtig . <end>	<start> I am jealous . <end>
<start> ich gehe . <end>	<start> I am leaving . <end>
<start> ich verschwinde . <end>	<start> I am leaving . <end>
<start> ich bin verheiratet . <end>	<start> I am married . <end>
<start> ich bin nervos . <end>	<start> I am nervous . <end>
<start> ich bin kein lugner . <end>	<start> I am no liar . <end>
<start> ich bin keine lugnerin . <end>	<start> I am no liar . <end>
<start> ich bin nicht tom . <end>	<start> I am not tom . <end>
<start> ich bin nicht dick ! <end>	<start> I am not fat . <end>
<start> ich bin nicht alt . <end>	<start> I am not old . <end>
<start> ich bin nicht schuchtern . <end>	<start> I am not shy . <end>
<start> ich bin nicht du . <end>	<start> I am not you . <end>
<start> ich bin drauayen . <end>	<start> I am outside . <end>
<start> ich bin daruber hinweg . <end>	<start> I am over it . <end>
<start> ich bin geduldig . <end>	<start> I am patient . <end>
<start> ich bin beliebt . <end>	<start> I am popular . <end>
<start> ich bin entspannt . <end>	<start> I am relaxed . <end>
<start> ich ruhe mich aus . <end>	<start> I am resting . <end>
<start> ich bin in rente . <end>	<start> I am retired . <end>
<start> jetzt bin ich traurig . <end>	<start> I am sad now . <end>
<start> ich bin selbstsuchtig . <end>	<start> I am selfish . <end>
<start> es ist mein ernst . <end>	<start> I am serious . <end>
<start> ich meine es ernst . <end>	<start> I am serious . <end>
<start> ich bin erschrocken . <end>	<start> I am shocked . <end>
<start> ich bin aufrichtig . <end>	<start> I am sincere . <end>
<start> mir ist so kalt . <end>	<start> I am so cold . <end>
<start> ich bin so satt . <end>	<start> I am so full . <end>
<start> ich sterbe vor hunger ! <end>	<start> I am starved . <end>
<start> ich bleibe . <end>	<start> I am staying . <end>
<start> ich bleiba . <end>	<start> I am staying . <end>
<start> ich bin pappsatt . <end>	<start> I am stuffed ! <end>
<start> ich bin fassungslos . <end>	<start> I am stunned . <end>
<start> ich spreche gerade . <end>	<start> I am talking . <end>
<start> das gesetz bin ich ! <end>	<start> I am the law . <end>
<start> ich bin das gesetz . <end>	<start> I am the law . <end>
<start> ich habe durst . <end>	<start> I am thirsty . <end>
<start> ich bin durstig . <end>	<start> I am thirsty . <end>
<start> ich bin damit durch . <end>	<start> I am through . <end>
<start> ich bin geruhrt . <end>	<start> I am touched . <end>
<start> ich bin gefangen . <end>	<start> I am trapped . <end>
<start> ich bin unbewaffnet . <end>	<start> I am unarmed . <end>
<start> ich bin unglucklich . <end>	<start> I am unhappy . <end>
<start> ich habe pech . <end>	<start> I am unlucky . <end>
<start> ich bin ungewohnlich . <end>	<start> I am unusual . <end>
<start> ich bin hier oben . <end>	<start> I am up here . <end>
<start> ich bin nutzlos . <end>	<start> I am useless . <end>
<start> ich bin ein nichtsnutz . <end>	<start> I am useless . <end>
<start> ich bin wohlhabend . <end>	<start> I am wealthy . <end>
<start> ich gewinne . <end>	<start> I am winning . <end>
<start> ich bin am gewinnen . <end>	<start> I am winning . <end>
<start> ich bin verletzt . <end>	<start> I am wounded . <end>
<start> ich bin gescheitert . <end>	<start> I have failed . <end>
<start> ich haba s ! <end>	<start> I have got it . <end>
<start> ich bin bedient . <end>	<start> I have had it . <end>
<start> ignorier das . <end>	<start> ignore that . <end>
<start> ignoriere sie . <end>	<start> ignore them . <end>
<start> ignorieren sie sie . <end>	<start> ignore them . <end>
<start> ignoriert sie . <end>	<start> ignore them . <end>
<start> hat tom viel zu tun ? <end>	<start> is tom busy ? <end>
<start> ist tom brav ? <end>	<start> is tom good ? <end>
<start> ist tom hier ? <end>	<start> is tom here ? <end>
<start> ist tom als nachster dran ? <end>	<start> is tom next ? <end>
<start> ist tom krank ? <end>	<start> is tom sick ? <end>
<start> ist tom sich sicher ? <end>	<start> is tom sure ? <end>
<start> ist tom groay ? <end>	<start> is tom tall ? <end>
<start> geht es tom gut ? <end>	<start> is tom well ? <end>
<start> hat er recht ? <end>	<start> is he right ? <end>
<start> ist es toms ? <end>	<start> is it tom s ? <end>
<start> ist es neblig ? <end>	<start> is it foggy ? <end>
<start> ist das legal ? <end>	<start> is it legal ? <end>
<start> ist das gesetzlich zugelassen ? <end>	<start> is it legal ? <end>
<start> schmeckt es ? <end>	<start> is it tasty ? <end>
<start> schmeckt s ? <end>	<start> is it tasty ? <end>
<start> ist es da ? <end>	<start> is it there ? <end>
<start> ist er da ? <end>	<start> is it there ? <end>
<start> ist sie da ? <end>	<start> is it there ? <end>
<start> zum mitnehmen ? <end>	<start> is it to go ? <end>
<start> ist es weiay ? <end>	<start> is it white ? <end>
<start> ist es windig ? <end>	<start> is it windy ? <end>
<start> ist es deins ? <end>	<start> is it yours ? <end>
<start> ist es ihres ? <end>	<start> is it yours ? <end>
<start> ist das deins ? <end>	<start> is it yours ? <end>
<start> ist das eures ? <end>	<start> is it yours ? <end>
<start> ist sie weg ? <end>	<start> is she gone ? <end>
<start> ist sie nett ? <end>	<start> is she nice ? <end>
<start> ist das tom ? <end>	<start> is that tom ? <end>
<start> macht das spaay ? <end>	<start> is that fun ? <end>
<start> ist das neu ? <end>	<start> is that new ? <end>
<start> war s das ? <end>	<start> is that you ? <end>
<start> ist das tom ? <end>	<start> is this tom ? <end>
<start> ist das kunst ? <end>	<start> is this art ? <end>
<start> ist das neu ? <end>	<start> is this new ? <end>
<start> das ist nicht moglich ! <end>	<start> it cannot be ! <end>
<start> das kann nicht sein ! <end>	<start> it cannot be ! <end>
<start> es ist passiert . <end>	<start> it happened . <end>
<start> es ist geschehen . <end>	<start> it happened . <end>
<start> es ist neblig . <end>	<start> it is foggy . <end>
<start> es ist nebel . <end>	<start> it is foggy . <end>
<start> das geht auf mich ! <end>	<start> it is on me . <end>
<start> vielleicht wird es regnen . <end>	<start> it may rain . <end>
<start> vielleicht regnet es . <end>	<start> it may rain . <end>
<start> vielleicht schneit es . <end>	<start> it may snow . <end>
<start> das hat mich gerettet . <end>	<start> it saved me . <end>
<start> es war kalt . <end>	<start> it was cold . <end>
<start> es war dunkel . <end>	<start> it was dark . <end>
<start> es war real . <end>	<start> it was real . <end>
<start> es wird in ordnung gehen . <end>	<start> it will be ok . <end>
<start> es wird kaputt gehen . <end>	<start> it will break . <end>
<start> es wird brechen . <end>	<start> it will break . <end>
<start> das sind funfzig yen . <end>	<start> it is yen . <end>
<start> es ist montag . <end>	<start> it is monday . <end>
<start> das ist ein buch . <end>	<start> it is a book . <end>
<start> das ist ein bulle . <end>	<start> it is a bull . <end>
<start> das ist eine falschung . <end>	<start> it is a fake . <end>
<start> das ist ein fisch . <end>	<start> it is a fish . <end>
<start> das ist ein witz . <end>	<start> it is a joke . <end>
<start> es ist schade . <end>	<start> it is a pity . <end>
<start> es ist eine regel . <end>	<start> it is a rule . <end>
<start> das ist langweilig . <end>	<start> it is boring . <end>
<start> es ist kaputt . <end>	<start> it is broken . <end>
<start> es ist bewolkt . <end>	<start> it is cloudy . <end>
<start> es ist fur mich . <end>	<start> it is for me . <end>
<start> es ist fur uns . <end>	<start> it is for us . <end>
<start> es ist nutzlos . <end>	<start> it is futile . <end>
<start> sie ist abgeschlossen . <end>	<start> it is locked . <end>
<start> er ist abgeschlossen . <end>	<start> it is locked . <end>
<start> es ist mein job . <end>	<start> it is my job . <end>
<start> das ist meine arbeit . <end>	<start> it is my job . <end>
<start> es hat keinen zweck . <end>	<start> it is no use . <end>
<start> es bringt nichts . <end>	<start> it is no use . <end>
<start> das ist gift . <end>	<start> it is poison . <end>
<start> das ist geheim . <end>	<start> it is secret . <end>
<start> es ist geheim . <end>	<start> it is secret . <end>
<start> es ist einfach . <end>	<start> it is simple . <end>
<start> es ist fruhling . <end>	<start> it is spring . <end>
<start> das ist blod . <end>	<start> it is stupid . <end>
<start> es ist dringend . <end>	<start> it is urgent . <end>
<start> es eilt . <end>	<start> it is urgent . <end>
<start> es ist dringlich . <end>	<start> it is urgent . <end>
<start> spring druber . <end>	<start> jump across . <end>
<start> springen sie hinuber . <end>	<start> jump across . <end>
<start> sag einfach nein . <end>	<start> just say no . <end>
<start> versuch s doch einfach ! <end>	<start> just try it . <end>
<start> versucht es doch einfach ! <end>	<start> just try it . <end>
<start> versuchen sie s doch einfach ! <end>	<start> just try it . <end>
<start> probier das mal . <end>	<start> just try it . <end>
<start> beweg dich weiter ! <end>	<start> keep moving . <end>
<start> bewegen sie sich weiter ! <end>	<start> keep moving . <end>
<start> bewegt euch weiter ! <end>	<start> keep moving . <end>
<start> versuch s weiter ! <end>	<start> keep trying . <end>
<start> lass mich dir helfen ! <end>	<start> let me help . <end>
<start> lassen sie mich ihnen helfen ! <end>	<start> let me help . <end>
<start> lass es mich wissen . <end>	<start> let me know . <end>
<start> lass mich sprechen . <end>	<start> let me talk . <end>
<start> lasst uns beginnen . <end>	<start> let us begin . <end>
<start> lassen sie uns anfangen . <end>	<start> let us begin . <end>
<start> lassen sie uns loslegen . <end>	<start> let us begin . <end>
<start> lasst uns loslegen . <end>	<start> let us begin . <end>
<start> lasst uns anfangen . <end>	<start> let us begin . <end>
<start> fangen wir an ! <end>	<start> let us begin . <end>
<start> lasst uns anfangen ! <end>	<start> let us begin . <end>
<start> lass uns anfangen ! <end>	<start> let us begin . <end>
<start> lasst uns nachprufen . <end>	<start> let us check . <end>
<start> lass uns tanzen . <end>	<start> let us dance . <end>
<start> tun wir s ! <end>	<start> let us do it ! <end>
<start> lass es uns in angriff nehmen ! <end>	<start> let us do it ! <end>
<start> lass uns hochgehen ! <end>	<start> let us go up . <end>
<start> entspannen wir uns ! <end>	<start> let us relax . <end>
<start> teilen wir uns auf ! <end>	<start> let us split . <end>
<start> los geht s . <end>	<start> let us start ! <end>
<start> fangen wir an ! <end>	<start> let us start ! <end>
<start> lasst uns anfangen ! <end>	<start> let us start ! <end>
<start> fangen wir an ! <end>	<start> let us start . <end>
<start> lasst uns studieren ! <end>	<start> let us study . <end>
<start> das leben macht spaay . <end>	<start> life is fun . <end>
<start> schau dir tom an . <end>	<start> look at tom . <end>
<start> schaue ihn an . <end>	<start> look at him . <end>
<start> schau genauer hin . <end>	<start> look closer . <end>
<start> schaut genauer hin . <end>	<start> look closer . <end>
<start> schauen sie genauer hin . <end>	<start> look closer . <end>
<start> mittagessen ist fertig . <end>	<start> lunch is on . <end>
<start> mach eine liste . <end>	<start> make a list . <end>
<start> machen sie eine liste . <end>	<start> make a list . <end>
<start> macht eine liste . <end>	<start> make a list . <end>
<start> wunsch dir was . <end>	<start> make a wish . <end>
<start> vielen dank ! <end>	<start> many thanks . <end>
<start> danke sehr ! <end>	<start> many thanks . <end>
<start> darf ich anfangen ? <end>	<start> may i begin ? <end>
<start> darf ich rauchen ? <end>	<start> may i smoke ? <end>
<start> prag es dir ein . <end>	<start> memorize it . <end>
<start> pragt es euch ein . <end>	<start> memorize it . <end>
<start> pragen sie es sich ein . <end>	<start> memorize it . <end>
<start> geld regiert die welt . <end>	<start> money talks . <end>
<start> gutes timing ! <end>	<start> nice timing . <end>
<start> nein heiayt nein . <end>	<start> no means no . <end>
<start> niemand kam . <end>	<start> no one came . <end>
<start> es kam keiner . <end>	<start> no one came . <end>
<start> niemand ist gegangen . <end>	<start> no one left . <end>
<start> es ist niemand gekommen . <end>	<start> nobody came . <end>
<start> es kam niemand . <end>	<start> nobody came . <end>
<start> niemand kam . <end>	<start> nobody came . <end>
<start> niemand ist gestorben . <end>	<start> nobody died . <end>
<start> keiner wusste bescheid . <end>	<start> nobody knew . <end>
<start> niemand hat gelogen . <end>	<start> nobody lied . <end>
<start> keine bewegung ! <end>	<start> nobody move ! <end>
<start> jetzt bin ich wutend . <end>	<start> now I am mad . <end>
<start> jetzt bin ich traurig . <end>	<start> now I am sad . <end>
<start> jetzt versuch s du . <end>	<start> now you try . <end>
<start> gut , du hast gewonnen . <end>	<start> ok , you win . <end>
<start> gut , ich bin einverstanden . <end>	<start> ok . i agree . <end>
<start> okay , ich bin einverstanden . <end>	<start> ok . i agree . <end>
<start> ach , komm schon ! <end>	<start> oh , come on . <end>
<start> nimm eine karte ! <end>	<start> pick a card . <end>
<start> pflanzen wachsen . <end>	<start> plants grow . <end>
<start> bitte klatschen ! <end>	<start> please clap . <end>
<start> komm bitte . <end>	<start> please come . <end>
