geh.	go.
tom ist unsicher.	tom is uncertain.
tom ist unentschieden.	tom is undecided.
tom ist unmoralisch.	tom is unethical.
tom ist nicht versichert.	tom is uninsured.
tom ist unverheiratet.	tom is unmarried.
tom ist ledig.	tom is unmarried.
tom ist alleinstehend.	tom is unmarried.
thomas packt aus.	tom is unpacking.
tom ist unbeliebt.	tom is unpopular.
tom hat damit nichts zu tun.	tom is unrelated.
tom ist verunsichert.	tom is unsettled.
tom benutzt dich.	tom is using you.
tom ist sehr beschaftigt.	tom is very busy.
tom ist sehr ruhig.	tom is very calm.
tom ist sehr gelassen.	tom is very calm.
tom ist echt suß.	tom is very cute.
tom ist total niedlich.	tom is very cute.
tom ist sehr schnell.	tom is very fast.
tom ist sehr brav.	tom is very good.
tom ist sehr freundlich.	tom is very kind.
tom ist sehr nett.	tom is very kind.
tom ist sehr gepflegt.	tom is very neat.
tom ist sehr offen.	tom is very open.
tom ist sehr blass.	tom is very pale.
tom ist sehr arm.	tom is very poor.
tom ist sehr reich.	tom is very rich.
tom ist so unhoflich.	tom is very rude.
tom ist sehr krank.	tom is very sick.
tom ist sehr schlank.	tom is very slim.
tom ist sehr langsam.	tom is very slow.
tom ist sehr groß.	tom is very tall.
tom ist sehr mager.	tom is very thin.
tom ist sehr weise.	tom is very wise.
tom ist im begriff, wach zu werden.	tom is waking up.
tom wacht auf.	tom is waking up.
tom wird schwacher.	tom is weakening.
tom wird gut bezahlt.	tom is well paid.
tom pfeift.	tom is whistling.
tom ist mit maria zusammen.	tom is with mary.
tom ist wunderbar.	tom is wonderful.
tom ist kein jude.	tom isn't jewish.
tom ist kein koch.	tom isn't a chef.
tom ist kein narr.	tom isn't a fool.
tom ist kein madchen.	tom isn't a girl.
tom ist kein held.	tom isn't a hero.
tom ist kein lugner.	tom isn't a liar.
tom ist nicht aktiv.	tom isn't active.
tom furchtet sich nicht.	tom isn't afraid.
tom ist nicht amusiert.	tom isn't amused.
tom ist nicht da.	tom isn't around.
tom ist nicht hier in der gegend.	tom isn't around.
tom schlaft nicht.	tom isn't asleep.
tom ist kein langweiler.	tom isn't boring.
tom kauft nicht.	tom isn't buying.
tom kommt nicht.	tom isn't coming.
tom ist nicht unheimlich.	tom isn't creepy.
tom ist nicht gruselig.	tom isn't creepy.
tom weint nicht.	tom isn't crying.
tom isst nicht.	tom isn't eating.
tom ist kein familienmitglied.	tom isn't family.
tom ist nicht beruhmt.	tom isn't famous.
tom ist nicht gierig.	tom isn't greedy.
tom ist nicht schuldig.	tom isn't guilty.
tom versteckt sich nicht.	tom isn't hiding.
tom ist nicht ehrlich.	tom isn't honest.
tom ist nicht hungrig.	tom isn't hungry.
tom hat keinen hunger.	tom isn't hungry.
tom ist jetzt nicht da.	tom isn't in now.
tom ist nicht innen.	tom isn't inside.
tom ist nicht drinnen.	tom isn't inside.
tom scherzt nicht.	tom isn't joking.
tom ist nicht aufgefuhrt.	tom isn't listed.
tom verliert nicht.	tom isn't losing.
tom bewegt sich nicht.	tom isn't moving.
tom ist nicht mein sohn.	tom isn't my son.
tom ist nicht normal.	tom isn't normal.
tom ist unhoflich.	tom isn't polite.
tom hat keine angst.	tom isn't scared.
tom ist nicht dunn.	tom isn't skinny.
tom ist nicht mude.	tom isn't sleepy.
tom ist nicht schlafrig.	tom isn't sleepy.
tom ist nicht hinterhaltig.	tom isn't sneaky.
tom ist nicht stabil.	tom isn't stable.
tom ist nicht geizig.	tom isn't stingy.
tom steht nicht unter drogeneinfluss.	tom isn't stoned.
tom ist nicht stark.	tom isn't strong.
tom ist nicht dumm.	tom isn't stupid.
tom ist kein dummkopf.	tom isn't stupid.
tom ist nicht unfreundlich.	tom isn't unkind.
tom ist noch nicht auf.	tom isn't up yet.
tom ist noch nicht aufgestanden.	tom isn't up yet.
tom ist gerade angekommen.	tom just arrived.
tom stohnte nur.	tom just groaned.
tom lachte eben.	tom just laughed.
tom hat gerade geniest.	tom just sneezed.
tom hat gerade angefangen.	tom just started.
tom hat es mir gerade gesagt.	tom just told me.
tom hat es mir gerade erzahlt.	tom just told me.
tom hat nur zugeschaut.	tom just watched.
tom sieht nur zu.	tom just watches.
tom ist gerade aufgewacht.	tom just woke up.
tom wuhlte weiter.	tom kept digging.
tom grub weiter.	tom kept digging.
tom fuhr weiter.	tom kept driving.
tom blieb konzentriert.	tom kept focused.
tom packte weiter.	tom kept packing.
tom spielte weiter.	tom kept playing.
tom schob weiter.	tom kept pushing.
tom las weiter.	tom kept reading.
tom rannte weiter.	tom kept running.
tom seufzte vor sich hin.	tom kept sighing.
tom hat weitergesungen.	tom kept singing.
tom lachelte weiter.	tom kept smiling.
tom starrte weiter.	tom kept staring.
tom redete weiter.	tom kept talking.
tom textete weiter.	tom kept texting.
tom ging weiter.	tom kept walking.
tom gewann weiter.	tom kept winning.
tom arbeitete weiter.	tom kept working.
tom schrieb weiter.	tom kept writing.
tom schrie weiter.	tom kept yelling.
tom totete einen mann.	tom killed a man.
tom wusste nichts.	tom knew nothing.
tom wusste von nichts.	tom knew nothing.
tom kennt boston.	tom knows boston.
tom kann franzosisch.	tom knows french.
tom weiß, dass ich es weiß.	tom knows i know.
tom weiß es besser.	tom knows better.
tom kennt sich mit pferden aus.	tom knows horses.
tom kennt pferde.	tom knows horses.
tom hat menschenkenntnis.	tom knows people.
tom weiß so manches.	tom knows things.
tom lachte auch.	tom laughed, too.
tom hat auch gelacht.	tom laughed, too.
tom hat sich um 2.30 uhr auf den weg gemacht.	tom left at 2:30.
tom ist fruher gegangen.	tom left earlier.
tom ging schnell weg.	tom left quickly.
tom ging leise.	tom left quietly.
tom ging leise weg.	tom left quietly.
tom log maria an.	tom lied to mary.
tom hat maria angelogen.	tom lied to mary.
tom hatte gefallen an pferden.	tom liked horses.
tom mochte pferde.	tom liked horses.
tom mag boston.	tom likes boston.
tom mag franzosisch.	tom likes french.
tom mag apfel.	tom likes apples.
tom mag kase.	tom likes cheese.
tom mag comics.	tom likes comics.
tom mag hockey.	tom likes hockey.
tom mag pferde.	tom likes horses.
tom mag es heiß.	tom likes it hot.
tom ist ein naturfreund.	tom likes nature.
tom mag oliven.	tom likes olives.
tom mag ponys.	tom likes ponies.
tom mag reggae.	tom likes reggae.
tom mag fußball.	tom likes soccer.
tom mag sport.	tom likes sports.
tom boxt gerne.	tom likes to box.
tom lauft gerne.	tom likes to run.
tom zundete eine kerze an.	tom lit a candle.
tom zundete das feuer an.	tom lit the fire.
tom lebt im ausland.	tom lives abroad.
tom wohnt ganz in der nahe.	tom lives nearby.
tom sah sich um.	tom looked about.
tom sah wieder hin.	tom looked again.
tom schaute nach vorn.	tom looked ahead.
tom schaute wutend.	tom looked angry.
tom schaute verargert.	tom looked angry.
tom hat mich angesehen.	tom looked at me.
tom sah wach aus.	tom looked awake.
tom sah schrecklich aus.	tom looked awful.
tom sah schmutzig aus.	tom looked dirty.
tom sah betrunken aus.	tom looked drunk.
tom sah großartig aus.	tom looked great.
tom sah glucklich aus.	tom looked happy.
tom sah bereit aus.	tom looked ready.
tom sah geistreich aus.	tom looked sharp.
tom wirkte angespannt.	tom looked tense.
tom sah mude aus.	tom looked tired.
tom sah verargert aus.	tom looked upset.
tom sah jung aus.	tom looked young.
tom sieht amusiert aus.	tom looks amused.
tom scheint zu schlafen.	tom looks asleep.
tom sieht enttauscht aus.	tom looks bummed.
tom sieht schlafrig aus.	tom looks drowsy.
tom sieht wild aus.	tom looks fierce.
tom sieht schuldig aus.	tom looks guilty.
tom sieht hungrig aus.	tom looks hungry.
tom sieht einsam aus.	tom looks lonely.
tom sieht normal aus.	tom looks normal.
tom sieht angstlich aus.	tom looks scared.
tom sieht verangstigt aus.	tom looks scared.
tom sieht erschuttert aus.	tom looks shaken.
tom sieht mude aus.	tom looks sleepy.
tom sieht schlafrig aus.	tom looks sleepy.
tom sieht stark aus.	tom looks strong.
tom sieht unruhig aus.	tom looks uneasy.
tom sieht unbehaglich aus.	tom looks uneasy.
tom sieht unsicher aus.	tom looks unsure.
tom sieht schwacher aus.	tom looks weaker.
tom sieht wackelig aus.	tom looks wobbly.
tom hat die kontrolle verloren.	tom lost control.
tom hat seinen hut verloren.	tom lost his hat.
tom hat seine arbeit verloren.	tom lost his job.
tom verlor seine arbeit.	tom lost his job.
tom hat seinen job verloren.	tom lost his job.
tom verlor seinen arbeitsplatz.	tom lost his job.
tom hat sich verirrt.	tom lost his way.
tom verlor die wette.	tom lost the bet.
tom hat die wette verloren.	tom lost the bet.
tom liebte boston.	tom loved boston.
tom liebte pferde.	tom loved horses.
tom liebte die schule.	tom loved school.
tom liebte skifahren.	tom loved skiing.
tom liebte sport.	tom loved sports.
tom liebt boston.	tom loves boston.
tom liebt kaffee.	tom loves coffee.
tom liebt hockey.	tom loves hockey.
tom liebt pferde.	tom loves horses.
tom liebt skifahren.	tom loves skiing.
tom liebt fußball.	tom loves soccer.
tom liebt sport.	tom loves sports.
tom liebt es zu laufen.	tom loves to run.
tom liebt zuge.	tom loves trains.
tom liebt tulpen.	tom loves tulips.
tom hat veranlasst, dass maria geht.	tom made mary go.
tom hat maria dazu gebracht, dass sie geht.	tom made mary go.
tom hat kekse gemacht.	tom made cookies.
tom machte sein bett.	tom made his bed.
tom hat mich zum singen gebracht.	tom made me sing.
tom heiratete maria.	tom married mary.
tom ist vielleicht pleite.	tom may be broke.
tom ist vielleicht dort.	tom may be there.
tom konnte gewonnen haben.	tom may have won.
tom kommt vielleicht nicht.	tom may not come.
tom darf nicht kommen.	tom may not come.
tom weiß es vielleicht nicht.	tom may not know.
tom hat es erwahnt.	tom mentioned it.
tom konnte etwas dagegen haben.	tom might object.
tom konnte gewonnen haben.	tom might've won.
tom kam naher.	tom moved closer.
tom muss tot sein.	tom must be dead.
tom kann nicht mehr alle tassen im schrank haben.	tom must be nuts.
tom muss reich sein.	tom must be rich.
tom muss krank sein.	tom must be sick.
tom muss gestorben sein.	tom must've died.
tom muss gegangen sein.	tom must've left.
tom brauchte geld.	tom needed money.
tom brauchte platz.	tom needed space.
tom brauchte wasser.	tom needed water.
tom braucht ein bad.	tom needs a bath.
tom braucht einen mantel.	tom needs a coat.
tom braucht ein taxi.	tom needs a taxi.
tom hat nie angerufen.	tom never called.
tom betrugt nie.	tom never cheats.
tom flucht nie.	tom never curses.
tom hat es nie vergessen.	tom never forgot.
tom lacht nie.	tom never laughs.
tom sah es nie.	tom never saw it.
tom schreit nie.	tom never shouts.
tom hat sich das nie anmerken lassen.	tom never showed.
tom hat nie geredet.	tom never talked.
tom schreibt nie.	tom never writes.
tom nickte wieder.	tom nodded again.
tom hat nochmals genickt.	tom nodded again.
tom nickte mir zu.	tom nodded to me.
tom hat das bemerkt.	tom noticed that.
tom hat das bestellt.	tom ordered this.
tom sollte gewinnen.	tom ought to win.
tom hat uns belauscht.	tom overheard us.
tom hat nichts bezahlt.	tom paid nothing.
tom hat das gemalt.	tom painted that.
tom hat das gemalt.	tom painted this.
tom zwickte mary.	tom pinched mary.
tom spielt bridge.	tom plays bridge.
tom spielt hockey.	tom plays hockey.
tom spielt fußball.	tom plays soccer.
tom spielt tennis.	tom plays tennis.
tom hat das vorhergesagt.	tom predicted it.
tom druckte „senden“.	tom pressed send.
tom setzte mich unter druck.	tom pressured me.
tom hat wahrscheinlich gewonnen.	tom probably won.
tom legte eine krawatte an.	tom put on a tie.
tom legte eine krawatte um.	tom put on a tie.
tom hat gekundigt.	tom quit his job.
tom horte auf zu rennen.	tom quit running.
tom hat mit dem rauchen aufgehort.	tom quit smoking.
tom lief nach oben.	tom ran upstairs.
tom sprach selten.	tom rarely spoke.
tom liest romane.	tom reads novels.
tom liest langsam.	tom reads slowly.
tom rettete maria.	tom rescued mary.
tom achtet dich.	tom respects you.
tom ritt ein kamel.	tom rode a camel.
tom verabschiedete sich.	tom said goodbye.
tom sagte nichts.	tom said nothing.
tom saß auf einem baumstamm.	tom sat on a log.
tom saß still da.	tom sat silently.
tom hat uns alle gerettet.	tom saved us all.
tom ist zum arzt gegangen.	tom saw a doctor.
tom ging zum arzt.	tom saw a doctor.
tom hat jemanden gesehen.	tom saw somebody.
tom sah die nachrichten.	tom saw the news.
tom sagt, es geht ihm gut.	tom says he's ok.
tom sagt, es ist okay.	tom says it's ok.
tom schalt mary.	tom scolded mary.
tom traf zweimal.	tom scored twice.
tom punktete zweimal.	tom scored twice.
tom schien wutend zu sein.	tom seemed angry.
tom schien gelangweilt zu sein.	tom seemed bored.
tom schien rechthaberisch zu sein.	tom seemed bossy.
tom schien herrisch zu sein.	tom seemed bossy.
tom wirkte benommen.	tom seemed dazed.
tom wirkte betrunken.	tom seemed drunk.
tom schien glucklich zu sein.	tom seemed happy.
tom schien glucklich zu sein.	tom seemed lucky.
tom wirkte launisch.	tom seemed moody.
tom wirkte naiv.	tom seemed naive.
tom schien bereit zu sein.	tom seemed ready.
tom schien schlau zu sein.	tom seemed smart.
tom schien klug zu sein.	tom seemed smart.
tom schien angespannt.	tom seemed tense.
tom schien mude zu sein.	tom seemed tired.
tom schien widerstandsfahig zu sein.	tom seemed tough.
tom schien hart zu sein.	tom seemed tough.
tom schien besturzt zu sein.	tom seemed upset.
es scheint tom jetzt gutzugehen.	tom seems ok now.
tom scheint angst zu haben.	tom seems afraid.
tom scheint amusiert zu sein.	tom seems amused.
tom scheint voreingenommen zu sein.	tom seems biased.
tom scheint aufgeweckt zu sein.	tom seems bright.
tom scheint schlau zu sein.	tom seems clever.
tom scheint clever zu sein.	tom seems clever.
tom scheint ehrlich zu sein.	tom seems honest.
tom scheint hungrig zu sein.	tom seems hungry.
tom scheint einsam zu sein.	tom seems lonely.
tom scheint dumm zu sein.	tom seems stupid.
tom scheint unsicher zu sein.	tom seems unsure.
tom verkauft kaffee.	tom sells coffee.
thomas verkauft radios.	tom sells radios.
tom hat mir das geschickt.	tom sent me that.
tom lehnte sich zuruck.	tom settled back.
tom ließ sich nieder.	tom settled down.
tom kauft online.	tom shops online.
tom schoss auf maria.	tom shot at mary.
tom hat auf maria geschossen.	tom shot at mary.
tom hat sich erschossen.	tom shot himself.
tom sollte wach sein.	tom should be up.
tom sollte aufgestanden sein.	tom should be up.
tom sollte sich entspannen.	tom should relax.
tom schreit viel.	tom shouts a lot.
tom schlurfte davon.	tom shuffled off.
tom schlurfte heraus.	tom shuffled out.
tom seufzte erneut.	tom sighed again.
tom schlug mary.	tom slapped mary.
tom schlaft viel.	tom sleeps a lot.
tom riecht scheußlich.	tom smells awful.
tom riecht komisch.	tom smells weird.
tom lachelte wieder.	tom smiled again.
tom lachelte mich an.	tom smiled at me.
tom lachelte schuchtern.	tom smiled shyly.
tom klang beschaftigt.	tom sounded busy.
tom klingt verargert.	tom sounds angry.
tom hort sich mude an.	tom sounds tired.
tom klingt verargert.	tom sounds upset.
tom klingt aufgebracht.	tom sounds upset.
tom sprach franzosisch.	tom spoke french.
tom sprach ruhig.	tom spoke calmly.
tom sprach sanft.	tom spoke gently.
tom sprach langsam.	tom spoke slowly.
tom sprach leise.	tom spoke softly.
tom sprach weise.	tom spoke wisely.
tom stach auf maria ein.	tom stabbed mary.
tom stolperte hinein.	tom staggered in.
tom starrte mich an.	tom stared at me.
tom hat das angefangen.	tom started that.
tom blieb wach.	tom stayed awake.
tom blieb in der nahe.	tom stayed close.
tom blieb still.	tom stayed quiet.
tom blieb dort.	tom stayed there.
tom stiehlt.	tom steals stuff.
tom trat zuruck.	tom stepped away.
tom trat weg.	tom stepped away.
tom trat zuruck.	tom stepped back.
tom stand wie erstarrt da.	tom stood frozen.
tom stand in der nahe.	tom stood nearby.
tom blieb hier stehen.	tom stopped here.
tom blieb in der nahe.	tom stuck around.
tom lernte fleißig.	tom studied hard.
tom studierte fleißig.	tom studied hard.
tom studiert fleißig.	tom studies hard.
tom studiert hier.	tom studies here.
tom hat das vorgeschlagen.	tom suggested it.
tom uberraschte mich.	tom surprised me.
tom flucht viel.	tom swears a lot.
tom ist auch mitgegangen.	tom tagged along.
tom unterrichtet yoga.	tom teaches yoga.
tom gibt yogaunterricht.	tom teaches yoga.
tom kitzelte maria.	tom tickled mary.
tom wird schnell mude.	tom tires easily.
tom hat es mir gesagt.	tom told me that.
tom machte eine pause.	tom took a break.
tom nahm die arbeit an.	tom took the job.
tom qualte mich.	tom tormented me.
tom strengt sich mehr an.	tom tries harder.
tom gibt sich mehr muhe.	tom tries harder.
tom vertraute ihnen.	tom trusted them.
tom bog rechts ab.	tom turned right.
tom wurde weiß.	tom turned white.
tom gewinnt normalerweise.	tom usually wins.
tom besuchte maria.	tom visited mary.
ich habe dafur gestimmt.	tom voted for it.
tom wartete dort.	tom waited there.
tom ging voraus.	tom walked ahead.
tom ging alleine.	tom walked alone.
tom lauft langsam.	tom walks slowly.
tom geht langsam.	tom walks slowly.
tom ist davon abgekommen.	tom wandered off.
tom ging davon.	tom wandered off.
tom wollte geld.	tom wanted money.
tom wollte beweise.	tom wanted proof.
tom sucht rat.	tom wants advice.
tom will rat.	tom wants advice.
tom will veranderung.	tom wants change.
tom mochte essen.	tom wants to eat.
tom will rennen.	tom wants to run.
tom war bauer.	tom was a farmer.
tom war landwirt.	tom was a farmer.
tom war ein freund.	tom was a friend.
tom war anwalt.	tom was a lawyer.
tom war suchtig.	tom was addicted.
tom horte aufmerksam zu.	tom was all ears.
tom war ganz ohr.	tom was all ears.
tom war lastig.	tom was annoying.
tom war entsetzt.	tom was appalled.
tom wurde angegriffen.	tom was attacked.
tom plapperte.	tom was babbling.
tom war barfuß.	tom was barefoot.
tom blutete.	tom was bleeding.
tom bluffte.	tom was bluffing.
tom prahlte.	tom was bragging.
tom wurde gefangen genommen.	tom was captured.
tom war sorglos.	tom was careless.
tom war vorsichtig.	tom was cautious.
tom war charmant.	tom was charming.
tom hat geschummelt.	tom was cheating.
tom war frohlich.	tom was cheerful.
tom war aufgeraumt.	tom was cheerful.
tom jubelte.	tom was cheering.
tom war aufmunternd.	tom was cheering.
tom war verwirrt.	tom was confused.
tom war kreativ.	tom was creative.
tom wurde eingeaschert.	tom was cremated.
tom ist eingeaschert worden.	tom was cremated.
tom wurde besiegt.	tom was defeated.
tom wurde deportiert.	tom was deported.
tom wurde eingesperrt.	tom was detained.
tom war diskret.	tom was discreet.
tom war treulos.	tom was disloyal.
tom war geschieden.	tom was divorced.
tom traumte.	tom was dreaming.
tom trank.	tom was drinking.
tom ertrank.	tom was drowning.
tom war ekstatisch.	tom was ecstatic.
tom war begeistert.	tom was ecstatic.
tom wurde hingerichtet.	tom was executed.
tom war furchtlos.	tom was fearless.
tom kampfte.	tom was fighting.
tom hat gekampft.	tom was fighting.
tom war fix und fertig.	tom was finished.
tom war fertig.	tom was finished.
tom war freundlich.	tom was friendly.
tom war großzugig.	tom was generous.
tom war leichtglaubig.	tom was gullible.
tom war hilflos.	tom was helpless.
tom zogerte.	tom was hesitant.
tom war obdachlos.	tom was homeless.
tom hatte heimweh.	tom was homesick.
tom war unhoflich.	tom was impolite.
tom stand im stau.	tom was in a jam.
tom hatte starke schmerzen.	tom was in agony.
tom war unsicher.	tom was insecure.
tom kniete.	tom was kneeling.
tom wurde entlassen.	tom was laid off.
tom lachte.	tom was laughing.
tom hat sich geirrt.	tom was mistaken.
tom wurde ermordet.	tom was murdered.
tom war mein kumpel.	tom was my buddy.
tom war gehorsam.	tom was obedient.
tom war beleidigt.	tom was offended.
tom war unser held.	tom was our hero.
tom war bewusstlos.	tom was out cold.
tom war emport.	tom was outraged.
tom malte.	tom was painting.
tom wurde begnadigt.	tom was pardoned.
tom wurde vergiftet.	tom was poisoned.
tom war vorbereitet.	tom was prepared.
tom wurde befordert.	tom was promoted.
tom war punktlich.	tom was punctual.
tom wurde bestraft.	tom was punished.
tom wurde abgelehnt.	tom was rejected.
tom wurde freigelassen.	tom was released.
tom war rucksichtslos.	tom was ruthless.
tom war betrubt.	tom was saddened.
tom wurde ausgewahlt.	tom was selected.
tom war vernunftig.	tom was sensible.
tom schrie.	tom was shouting.
tom schlief.	tom was sleeping.
tom schlief gerade.	tom was sleeping.
tom war so reizend.	tom was so sweet.
tom sprach.	tom was speaking.
tom stand.	tom was standing.
tom war erschrocken.	tom was startled.
tom hungerte.	tom was starving.
tom war starrkopfig.	tom was stubborn.
tom schwitzte.	tom was sweating.
tom war großartig.	tom was terrific.
tom war begeistert.	tom was thrilled.
tom war zu schwach.	tom was too weak.
tom wurde gefoltert.	tom was tortured.
tom war in schwierigkeiten geraten.	tom was troubled.
tom war ehrlich.	tom was truthful.
tom hatte keine angst.	tom was unafraid.
tom war unverletzt.	tom was unharmed.
tom war unversehrt.	tom was unharmed.
tom war unrasiert.	tom was unshaven.
tom war oben.	tom was upstairs.
tom war sehr traurig.	tom was very sad.
tom war sehr schuchtern.	tom was very shy.
tom war nicht am leben.	tom wasn't alive.
tom war nicht allein.	tom wasn't alone.
tom war nicht verargert.	tom wasn't angry.
tom war nicht bewaffnet.	tom wasn't armed.
tom war nicht rechthaberisch.	tom wasn't bossy.
tom war nicht deutlich.	tom wasn't clear.
tom war nicht verruckt.	tom wasn't crazy.
tom war nicht grausam.	tom wasn't cruel.
tom war nicht betrunken.	tom wasn't drunk.
tom wurde nicht gefeuert.	tom wasn't fired.
tom ist nicht entlassen worden.	tom wasn't fired.
tom war nicht lustig.	tom wasn't funny.
tom hat nicht gelogen.	tom wasn't lying.
tom war nicht nackt.	tom wasn't naked.
tom war nicht still.	tom wasn't quiet.
tom war nicht ruhig.	tom wasn't quiet.
tom war nicht bereit.	tom wasn't ready.
tom hatte nicht recht.	tom wasn't right.
tom war nicht dort.	tom wasn't there.
tom war nicht mude.	tom wasn't tired.
tom war nicht verargert.	tom wasn't upset.
tom war nicht vage.	tom wasn't vague.
tom hat sich nicht geirrt.	tom wasn't wrong.
tom war nicht jung.	tom wasn't young.
tom beobachtete mary.	tom watched mary.
tom hat mary beobachtet.	tom watched mary.
tom beobachtet maria.	tom watches mary.
tom hat einen ring an.	tom wears a ring.
tom tragt einen ring.	tom wears a ring.
tom hat durchgedreht.	tom went bananas.
tom ist vollig durchgedreht.	tom went berserk.
tom drehte durch.	tom went bonkers.
tom schnappte uber.	tom went bonkers.
tom ging angeln.	tom went fishing.
tom ist verloren gegangen.	tom went missing.
tom ist vermisst.	tom went missing.
tom ging nach draußen.	tom went outside.
tom ging jogging.	tom went running.
tom ging surfen.	tom went surfing.
tom ist zu weit gegangen.	tom went too far.
tom ist bettnasser.	tom wets his bed.
tom wird zuruckkommen.	tom will be back.
tom wird schon klarkommen.	tom will be fine.
tom wird schon kommen.	tom will be here.
tom wird sich verspaten.	tom will be late.
tom wird mich anrufen.	tom will call me.
tom wird das tun.	tom will do that.
tom wird es erklaren.	tom will explain.
tom wird uns helfen.	tom will help us.
tom wird sich verbessern.	tom will improve.
tom wird mich umbringen.	tom will kill me.
tom wird das mogen.	tom will like it.
tom wird mich vermissen.	tom will miss me.
tom wird sich erholen.	tom will recover.
tom wird antworten.	tom will respond.
tom wird uns retten.	tom will save us.
tom wird zustimmen.	tom will say yes.
tom wird ja sagen.	tom will say yes.
tom wird erfolg haben.	tom will succeed.
tom wird dich verklagen.	tom will sue you.
tom wird uberleben.	tom will survive.
tom wird es nehmen.	tom will take it.
tom wird es uns erzahlen.	tom will tell us.
tom zwinkerte mir zu.	tom winked at me.
tom hat eine trophae gewonnen.	tom won a trophy.
tom gewann eine trophae.	tom won a trophy.
tom gewann das rennen.	tom won the race.
tom hat das rennen gewonnen.	tom won the race.
tom hat den wettlauf gewonnen.	tom won the race.
tom wird nicht antworten.	tom won't answer.
tom wird sich nicht andern.	tom won't change.
tom will nicht horen.	tom won't listen.
tom wird es nicht bemerken.	tom won't notice.
tom wird nichts dagegen haben.	tom won't object.
tom wird nicht zurucktreten.	tom won't resign.
tom wird nicht in rente gehen.	tom won't retire.
tom wird nicht verhungern.	tom won't starve.
tom trug eine brille.	tom wore glasses.
tom arbeitete dort.	tom worked there.
tom hat dort gearbeitet.	tom worked there.
tom arbeitet fur mich.	tom works for me.
tom arbeitet fur uns.	tom works for us.
tom arbeitet in der nahe.	tom works nearby.
tom arbeitet nachts.	tom works nights.
tom arbeitet langsam.	tom works slowly.
tom wurde akzeptieren.	tom would accept.
tom wurde zusagen.	tom would accept.
tom wurde einwilligen.	tom would accept.
tom wurde nicht weinen.	tom wouldn't cry.
tom wurde nicht essen.	tom wouldn't eat.
tom wurde nicht lugen.	tom wouldn't lie.
tom wurde nicht laufen.	tom wouldn't run.
tom schreibt schlecht.	tom writes badly.
tom schreibt gedichte.	tom writes poems.
tom hat wassermangel.	tom's dehydrated.
tom ist dehydriert.	tom's dehydrated.
tom hat wahnhafte storungen.	tom's delusional.
toms hund hat mich gebissen.	tom's dog bit me.
tom erbleichte.	tom's face paled.
tom ist verangstigt.	tom's frightened.
toms hut ist rot.	tom's hat is red.
tom ist eigensinnig.	tom's headstrong.
tom zogert.	tom's hesitating.
tom ist hysterisch.	tom's hysterical.
tom ist unmoglich.	tom's impossible.
tom ist innovativ.	tom's innovative.
tom schlaft nicht.	tom's not asleep.
tom ist nicht hungrig.	tom's not hungry.
tom hat keinen hunger.	tom's not hungry.
toms telefon klingelte.	tom's phone rang.
tom ist ziemlich brav.	tom's quite good.
tom ist misstrauisch.	tom's suspicious.
toms zeit ist abgelaufen.	tom's time is up.
tom ist ungeschlagen.	tom's undefeated.
tom ist unzuverlassig.	tom's unreliable.
tom ist sehr pingelig.	tom's very fussy.
tom, geh nicht.	tom, don't leave.
tom, geh nicht fort.	tom, don't leave.
tom, beeil dich!	tom, hurry it up.
tom, bist du das?	tom, is that you?
tom, hor auf, okay?	tom, stop it, ok?
folter ist unrecht.	torture is wrong.
wirf mir den ball zu!	toss me the ball.
versuch mich zu fangen!	try and catch me!
versuche es noch einmal.	try it once more.
versuchen sie es noch einmal.	try it once more.
versuch es noch einmal.	try it once more.
versuch es noch mal!	try it once more.
versucht es noch mal.	try it once more.
versuch's noch mal!	try it once more.
versuche, nicht in panik auszubrechen!	try not to panic.
versuche, dir keine sorgen zu machen!	try not to worry.
versuche langsamer zu gehen.	try to go slower.
versuche, ruhig zu bleiben!	try to stay calm.
versuchen sie, ruhig zu bleiben!	try to stay calm.
schalt es ab, tom.	turn it off, tom.
stell das gas ab.	turn off the gas.
stellt das gas ab.	turn off the gas.
stellen sie das gas ab.	turn off the gas.
biegen sie da vorne rechts ab.	turn right there.
dreh die heizung auf.	turn up the heat.
schildkroten legen eier.	turtles lay eggs.
warte hier auf mich!	wait for me here.
warte auf uns, tom!	wait for us, tom.
warte hier auf mich.	wait here for me.
wartet hier auf mich.	wait here for me.
warten sie hier auf mich.	wait here for me.
warte hier auf mich!	wait here for me.
lauf vor mir her.	walk ahead of me.
lauf vor mir.	walk ahead of me.
lauft vor mir her.	walk ahead of me.
laufen sie vor mir her.	walk ahead of me.
geh langsamer.	walk more slowly.
war tom gutaussehend?	was tom handsome?
hatte tom damit zu tun?	was tom involved?
ist tom ermordet worden?	was tom murdered?
stand tom unter drogen?	was tom on drugs?
wurde tom bestraft?	was tom punished?
hat tom geschlafen?	was tom sleeping?
schlief tom?	was tom sleeping?
sieh dir dieses video an.	watch this video.
passt auf euch auf.	watch yourselves!
passt auf euch auf.	watch yourselves.
gieß die pflanzen!	water the plants.
wir stimmen ebenfalls zu.	we agree as well.
daruber sind wir uns einig.	we agree on that.
daruber sind wir uns einig.	we agree on this.
wir wissen das alle.	we all know that.
wir wissen es alle.	we all know this.
wir alle brauchen liebe.	we all need love.
wir vertrauen dir alle.	we all trust you.
wir haben alle vertrauen zu ihnen.	we all trust you.
wir haben alle vertrauen zu euch.	we all trust you.
wir sind keine idioten.	we aren't idiots.
wir sind zuerst angekommen.	we arrived first.
